"Save Attribute Rule","Save Attribute Rule"
"Save and Continue Edit","Save and Continue Edit"
"Edit Rule","Edit Rule"
"New Rule","New Rule"
"Reward system Attribute Rule","Reward system Attribute Rule"
"General Information","General Information"
"Reward Point","Reward Point"
"Attribute Options","Attribute Options"
"Rule Status","Rule Status"
Enabled,Enabled
Disabled,Disabled
"Save Cart Rule","Save Cart Rule"
"Reward system Cart Rule","Reward system Cart Rule"
"Amount From","Amount From"
"Amount To","Amount To"
"Start From Date","Start From Date"
"End Date","End Date"
"Reward Points On Categories","Reward Points On Categories"
"Reward point on category","Reward point on category"
"Reward points","Reward points"
"Set point on category","Set point on category"
"Enter points","Enter points"
"Reward point status","Reward point status"
Enable,Enable
Disable,Disable
"Category ID","Category ID"
"Category Name","Category Name"
"Reward Points","Reward Points"
Status,Status
"Start Time","Start Time"
"End Time","End Time"
"Reward Points On Category","Reward Points On Category"
"Reward Point On Category","Reward Point On Category"
"Reward Point On Category for Specific Time","Reward Point On Category for Specific Time"
"Reward Points On Products","Reward Points On Products"
"Reward point on product","Reward point on product"
"Set point on product","Set point on product"
"Product ID","Product ID"
"Product SKU","Product SKU"
"Product Name","Product Name"
"Reward Points On Product","Reward Points On Product"
"Reward Point On Product","Reward Point On Product"
"Reward Point On Product for Specific Time","Reward Point On Product for Specific Time"
"All Websites","All Websites"
"All Customer Groups","All Customer Groups"
Back,Back
Reset,Reset
"Save Transaction","Save Transaction"
Home,Home
"Go to Home Page","Go to Home Page"
Month,Month
"Total Referrals","Total Referrals"
"Earned Reward Points","Earned Reward Points"
"Reward System Attribute Rule","Reward System Attribute Rule"
"This rule no longer exists.","This rule no longer exists."
"Edit Reward Attribute Rule","Edit Reward Attribute Rule"
"Update Reward Attribute Rule","Update Reward Attribute Rule"
"Add Reward Attribute Rule","Add Reward Attribute Rule"
"Manage Reward Points on Attribute","Manage Reward Points on Attribute"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"Rule already exists for this option.","Rule already exists for this option."
"Attribute Rule successfully saved.","Attribute Rule successfully saved."
"Something went wrong while saving the data.","Something went wrong while saving the data."
"Wallet System Credit Rule","Wallet System Credit Rule"
"Edit Reward Cart Rule","Edit Reward Cart Rule"
"Update Reward Cart Rule","Update Reward Cart Rule"
"Add Reward Cart Rule","Add Reward Cart Rule"
"Manage Reward Points on Cart","Manage Reward Points on Cart"
"Amount range already exists.","Amount range already exists."
"Cart Rule successfully saved.","Cart Rule successfully saved."
"End date can not be lesser than start From date.","End date can not be lesser than start From date."
"Amount To can not be less than Amount From","Amount To can not be less than Amount From"
"Amount From or Amount To can not be less than 0","Amount From or Amount To can not be less than 0"
"Manage Reward Points on Category","Manage Reward Points on Category"
"Total of %1 category(s) reward status are updated","Total of %1 category(s) reward status are updated"
"Total of %1 category(s) reward are updated","Total of %1 category(s) reward are updated"
"Please Enter a valid points number to add.","Please Enter a valid points number to add."
"Please select categories to set points.","Please select categories to set points."
"Manage Reward Points on Product","Manage Reward Points on Product"
"Total of %1 product(s) reward status are updated","Total of %1 product(s) reward status are updated"
"Total of %1 product(s) reward are updated","Total of %1 product(s) reward are updated"
"Please Enter a valid reward points number to add.","Please Enter a valid reward points number to add."
"Please select products to set points.","Please select products to set points."
"Reward Points Reports","Reward Points Reports"
"Reward System Details","Reward System Details"
"%1's Details","%1's Details"
"New Transaction","New Transaction"
"Transaction is saved successfully!!","Transaction is saved successfully!!"
"Something went wrong while saving the transaction.","Something went wrong while saving the transaction."
"You got %1 reward points from admin","You got %1 reward points from admin"
"%1 customer has been credited with %2 reward points","%1 customer has been credited with %2 reward points"
"%1 reward points debited by the admin","%1 reward points debited by the admin"
"%1 customer has been debited with %2 reward points","%1 customer has been debited with %2 reward points"
"No customers added, Please select customers","No customers added, Please select customers"
"Reward points can't be greater than customer's reward point(s).","Reward points can't be greater than customer's reward point(s)."
"You can not use more than %1 reward points for this order purchase.","You can not use more than %1 reward points for this order purchase."
"Reward Amount can not be greater than Order Total.","Reward Amount can not be greater than Order Total."
"My Reward","My Reward"
"Referral Program","Referral Program"
Period,Period
"Rewarded Points","Rewarded Points"
"Redeemed Points","Redeemed Points"
-,-
"Please, note that your reward points %1 will expire on %2","Please, note that your reward points %1 will expire on %2"
"Remaining Reward Point can not be less than zero.","Remaining Reward Point can not be less than zero."
"Order id : %1 credited amount","Order id : %1 credited amount"
"Order id : %1 credited amount in way","Order id : %1 credited amount in way"
"Unable to send invitation mail to %1.","Unable to send invitation mail to %1."
"Reward point for referral","Reward point for referral"
"You got %1 reward points through referral program","You got %1 reward points through referral program"
" got %1 reward points through referral program"," got %1 reward points through referral program"
"Reward point on registration through referral","Reward point on registration through referral"
"You got %1 reward points on registration through referral program","You got %1 reward points on registration through referral program"
" have registered on your site, and got %1 reward points through referral program"," have registered on your site, and got %1 reward points through referral program"
"Now total remaining reward points in your account are: %1","Now total remaining reward points in your account are: %1"
"Now total remaining reward points in his/her account are: %1","Now total remaining reward points in his/her account are: %1"
"Invoice Created","Invoice Created"
"Order Complete","Order Complete"
"Shipment Generate","Shipment Generate"
"Product Based","Product Based"
"Cart Based","Cart Based"
"Category Based","Category Based"
"Attribute Based","Attribute Based"
"%1 Point(s) are expired","%1 Point(s) are expired"
"Your %1 reward points have been expired","Your %1 reward points have been expired"
" reward points expired %1"," reward points expired %1"
"Reward point on birthday","Reward point on birthday"
"You got %1 reward points on birthday","You got %1 reward points on birthday"
" have got %1 reward points on birthday"," have got %1 reward points on birthday"
Credit,Credit
Debit,Debit
Expired,Expired
Applied,Applied
Pending,Pending
"Rewarded Amount","Rewarded Amount"
"The model with the ""%1"" ID doesn't exist.","The model with the ""%1"" ID doesn't exist."
Today,Today
"Last 7 Days","Last 7 Days"
"Last 30 Days","Last 30 Days"
"Last 6 Months","Last 6 Months"
"Last 2 Years","Last 2 Years"
Overall,Overall
"'input' input argument is required.","'input' input argument is required."
"Customer id(s) cannot be empty.","Customer id(s) cannot be empty."
"Unauthorized access. Only admin can access this information.","Unauthorized access. Only admin can access this information."
"The consumer isn't authorized to access %resources.","The consumer isn't authorized to access %resources."
"Reward attribute point id(s) cannot be empty.","Reward attribute point id(s) cannot be empty."
"Reward attribute point id(s) are not valid.","Reward attribute point id(s) are not valid."
"'action' input argument is not valid.","'action' input argument is not valid."
"Invalid Request","Invalid Request"
"Reward cart point id(s) cannot be empty.","Reward cart point id(s) cannot be empty."
"Reward cart point id(s) are not valid.","Reward cart point id(s) are not valid."
"'filter' input argument is required.","'filter' input argument is required."
"Option id is required.","Option id is required."
"""model"" value should be specified","""model"" value should be specified"
"Buy any product and ","Buy any product and "
"Earn %1 Reward Points","Earn %1 Reward Points"
" between"," between"
"Required parameter ""cart_id"" is missing","Required parameter ""cart_id"" is missing"
"Required parameter ""used_reward_points"" is missing","Required parameter ""used_reward_points"" is missing"
"The current customer isn't authorized.","The current customer isn't authorized."
"Order id: ","Order id: "
"Credited amount in way","Credited amount in way"
Cancelled,Cancelled
Approved,Approved
"""order"" value should be specified","""order"" value should be specified"
"Between %1 - %2 Reward Points will be used to purchase this product","Between %1 - %2 Reward Points will be used to purchase this product"
"%1 Reward Points will be used to purchase this product","%1 Reward Points will be used to purchase this product"
"Buy this product and ","Buy this product and "
"Earn %1 to %2 Reward Points","Earn %1 to %2 Reward Points"
"You don't have sufficient Reward Points to use.","You don't have sufficient Reward Points to use."
"Reward Attribute with id ""%1"" does not exist.","Reward Attribute with id ""%1"" does not exist."
"Reward Cart with id ""%1"" does not exist.","Reward Cart with id ""%1"" does not exist."
"Reward Category with id ""%1"" does not exist.","Reward Category with id ""%1"" does not exist."
